question|answer
Какие ИТ-услуги являются основными для "Первого Бита"?|Автоматизация бизнеса на 1С, ИТ-аутсорсинг, разработка ПО, кибербезопасность, облачные решения и построение ИТ-инфраструктуры.
Где находятся офисы компании?|Более 100 офисов в 10 странах: Россия, Казахстан, Узбекистан, Беларусь, ОАЭ, Саудовская Аравия, Турция, Испания, Канада, Колумбия.
Сколько сотрудников работает в компании?|В компании работает более 8000 высококвалифицированных специалистов.
Сколько клиентов обслуживает "Первый Бит"?|Более 300 000 компаний по всему миру доверяют нам свои ИТ-задачи.
Каков опыт компании на рынке?|Мы работаем с 1997 года и имеем более 27 лет успешного опыта в ИТ-сфере.
Является ли компания официальным партнером 1С?|Да, мы являемся сертифицированным партнером 1С с статусами "1С:Центр компетенции по ERP-решениям".
Какие статусы 1С есть у компании?|Статусы "1С:Центры ERP" по направлениям: Производство, Строительство, Торговля и другие.
Какие собственные продукты разработала компания?|Около 50 собственных решений, включая "БИТ.Финанс", "БИТ.Медицина", "БИТ.Салон" и другие.
Предоставляете ли вы услуги в ОАЭ?|Да, с 2013 года успешно работаем в ОАЭ с офисом в Дубае.
Где находится офис в Дубае?|Office 104, Falcon House Building, Dubai Investment Park, Дубай, ОАЭ.
Есть ли представительство в Саудовской Аравии?|Да, у нас есть офис в Эр-Рияде.
Какое основное решение для международных компаний?|1C:FirstBit ERP - комплексное ERP-решение, адаптированное для ведения учета в ОАЭ и Саудовской Аравии.
На каких языках доступна система?|Интерфейс на русском, английском и арабском языках.
Соответствует ли учет международным стандартам?|Да, система обеспечивает отчетность в полном соответствии с МСФО (IFRS).
Соответствует ли решение местному налогообложению?|Да, ведение налогов полностью соответствует законодательству ОАЭ и Саудовской Аравии.
Сколько компаний в ОАЭ используют ваши решения?|Более 2000 компаний в ОАЭ выбрали First Bit для цифровой трансформации.
С какими известными компаниями вы сотрудничали в ОАЭ?|Suma Gourmet, Senat, Cameloth (дистрибьютор Philips) и другие.
Как заказать демонстрацию системы в ОАЭ?|Заполните форму на сайте firstbit.ae для записи на онлайн или офлайн-демонстрацию.
Что такое 1C:FirstBit ERP?|Комплексное решение на платформе "1С:Предприятие 8" для автоматизации ключевых бизнес-процессов.
Какие модули входят в ERP-решение?|Финансы, продажи, закупки, склад, управление персоналом, payroll, проекты и аналитика.
Для каких отраслей подходит ваше ERP-решение?|Торговля, дистрибуция, производство, строительство, логистика, HoReCa.
Предлагаете ли вы решения для строительства?|Да, у нас есть готовое ERP-решение, специально разработанное для строительных подрядчиков.
Как решение для строительства помогает контролировать проекты?|Дает 360° обзор проекта, контроль затрат и прибыльности, управление оборудованием и прогнозирование денежных потоков.
Что такое "БИТ.Финанс"?|Собственное решение компании для автоматизации финансового учета и управления денежными потоками.
Автоматизируете ли вы расчет заработной платы?|Да, модуль "Зарплата и управление персоналом" автоматизирует расчет зарплаты, отпусков, больничных.
Предлагаете ли вы CRM-системы?|Да, мы внедряем CRM как на базе 1С, так и других платформ, включая Bitrix24.
Что такое ИТ-аутсорсинг и его преимущества?|Полная или частичная передача ИТ-задач нам. Экономия на штате, качество услуг, фокус на вашем бизнесе.
Что входит в абонентское обслуживание?|Поддержка пользователей, мониторинг оборудования, обновление ПО, защита от вирусов, резервное копирование.
Как происходит переход на ваше обслуживание?|Бесплатная диагностика, заключение договора, плавный переход с минимизацией простоев.
Какие гарантии на услуги обслуживания?|Время реакции на заявку, фиксированная стоимость, прозрачная отчетность в договоре.
Что такое 1С:ИТС и зачем он нужен?|Информационно-технологическое сопровождение: обновления, консультации, отчетность для легальной работы 1С.
В чем разница между 1С:Бухгалтерия и 1С:УТ?|Бухгалтерия - налоговый учет, УТ - управление продажами, складом, закупками. Часто используются вместе.
Помогаете ли с обновлением устаревших версий 1С?|Да, проводим плановые обновления и перенос данных с DOS, Windows на современные платформы.
Выполняете ли вы доработки 1С под нужды бизнеса?|Да, наши программисты выполняют любые доработки: от печатных форм до сложных механизмов и интеграций.
Что такое "1С в облаке" и его преимущества?|Работа с 1С через браузер. Преимущества: нет затрат на сервер, доступность, безопасность.
Как происходит внедрение 1С с нуля?|Предпроектное обследование, выбор конфигурации, настройка, обучение, запуск и сопровождение.
Сколько стоит внедрение 1С?|Стоимость зависит от сложности проекта, конфигурации и объема доработок. Предоставим КП после анализа.
Предоставляете ли вы обучение для сотрудников?|Да, проводим обучение работе с 1С и другим ПО с выработкой практических навыков.
Что делать при медленной работе 1С?|Обратиться в поддержку. Мы удаленно диагностируем проблему (сервер, сеть, БД) и устраним ее.
Предоставляете ли услуги по кибербезопасности?|Да, реализуем комплекс мер: настройка firewall, защита от вирусов, шифрование данных.
Помогаете ли с выбором серверного оборудования?|Да, подберем конфигурацию, поможем с закупкой и проведем пусконаладку.
Что входит в обслуживание серверов?|Мониторинг работоспособности, обновления, настройка резервного копирования, устранение неисправностей.
Как организовано резервное копирование?|Настраиваем автоматическое копирование на выделенное хранилище с проверкой целостности.
Разрабатываете ли вы сайты?|Да, создаем сайты-визитки, корпоративные порталы и интернет-магазины с адаптацией под мобильные устройства.
Какие этапы разработки сайта?|Обсуждение ТЗ, дизайн-макет, верстка и программирование, наполнение, тестирование и запуск.
Занимаетесь ли вы SEO-продвижением?|Да, предоставляем услуги поисковой оптимизации для повышения позиций в выдаче.
Что такое CRM и зачем она бизнесу?|Система управления взаимоотношениями с клиентами. Автоматизирует продажи, контролирует менеджеров.
Какую CRM вы рекомендуете?|Подберем решение под задачи: от готовых (1С, Bitrix24) до разработки собственной системы.
Интегрируете ли 1С с сайтом?|Да, имеем опыт интеграции 1С с сайтами, онлайн-кассами, маркетплейсами и системами информирования.
Как часто нужно делать резервные копии?|Рекомендуется ежедневное копирование критически важных данных.
